model,train_val,parameters,n_features,ssr,r2,r2adj,mae,rmse,VIF,percBias,region,clust_method
raw_lasso,train,alpha0.01,46,645.5951257,0.892080085,0.890511085,0.258031345,0.448394182,99.17044194,8.04E-14,all_regions,none
raw_lasso,valin,alpha0.01,46,909.1155904,0.877421064,0.875638943,0.342695898,0.532095272,98.79336862,-6.61872582,all_regions,none
raw_lasso,valnit,alpha0.01,46,900.119287,0.641985488,0.629199255,0.347958783,0.821125238,89.09630502,-7.703894102,all_regions,none
raw_lasso,train,alpha1.0,13,795.50297,0.867020971,0.866480236,0.306262468,0.497737944,4.411453451,-1.17E-14,all_regions,none
raw_lasso,valin,alpha1.0,13,1148.914416,0.845088229,0.844458309,0.383672671,0.598168703,4.375199684,-7.174606907,all_regions,none
raw_lasso,valnit,alpha1.0,13,931.1039443,0.629661614,0.626017103,0.374276302,0.835138395,4.423240399,-6.508865235,all_regions,none
raw_mlr,train,forwardklim81,20,668.7136439,0.888215513,0.88751467,0.263345083,0.45635198,13.59515646,6.97E-15,all_regions,none
raw_mlr,valin,forwardklim81,20,929.7931335,0.874633045,0.873847046,0.348516764,0.538112418,13.5460124,-6.833305133,all_regions,none
raw_mlr,valnit,forwardklim81,20,892.9620348,0.644832222,0.63942632,0.352722039,0.817854155,13.53003487,-6.856534462,all_regions,none
raw_mlr,train,backwardklim1,16,669.305093,0.888116644,0.887556177,0.263447428,0.456553748,41.74879297,-6.54E-15,all_regions,none
raw_mlr,valin,backwardklim1,16,937.4468051,0.873601077,0.872967895,0.351759828,0.540322638,41.70551515,-6.777449237,all_regions,none
raw_mlr,valnit,backwardklim1,16,890.0685368,0.645983085,0.64168546,0.352043775,0.816528019,42.99741396,-6.972898761,all_regions,none
strd_lasso,train,alpha0.01,37,676.6840361,0.886883155,0.885564112,0.265574676,0.459063552,73.44535318,4.04E-15,all_regions,none
strd_lasso,valin,alpha0.01,37,972.0793422,0.868931462,0.867403086,0.355820135,0.550212819,73.51666418,-6.821806695,all_regions,none
strd_lasso,valnit,alpha0.01,37,903.4207332,0.640672367,0.630421694,0.347325201,0.822629716,71.85534997,-6.075226572,all_regions,none
strd_lasso,train,alpha1.0,1,4494.948572,0.248608841,0.24837469,0.748044047,1.183156546,1,8.26E-15,all_regions,none
strd_lasso,valin,alpha1.0,1,5816.231021,0.215779141,0.215534759,0.829644382,1.345862435,1,-7.466539064,all_regions,none
