model,train_val,parameters,n_features,ssr,r2,r2adj,mae,rmse,VIF,percBias,region
Ecoregion_SECstPlain_regr_precip,train,none,1,31.81824246,0.01064358,0.000337784,0.443795272,0.569803425,1,9.86E-15,SECstPlain
Ecoregion_SECstPlain_regr_precip,valin,none,1,42.37285241,-0.044033638,-0.054908989,0.56198605,0.657553074,1,16.951211,SECstPlain
Ecoregion_SECstPlain_regr_precip,valnit,none,1,10.68611216,-0.004118556,-0.032010738,0.466578126,0.530295651,1,-7.891121655,SECstPlain
Ecoregion_SECstPlain_raw_lasso,train,alpha0.05,30,5.504104338,0.828855382,0.752223463,0.1751018,0.236990147,155.3691763,6.71E-14,SECstPlain
Ecoregion_SECstPlain_raw_lasso,valin,alpha0.05,30,16.80128952,0.586029488,0.400669557,0.345445164,0.414055226,145.6321084,20.0677518,SECstPlain
Ecoregion_SECstPlain_raw_lasso,valnit,alpha0.05,30,6.762846315,0.364530395,-2.358910769,0.315239249,0.42186448,214.8533859,-6.221595608,SECstPlain
Ecoregion_SECstPlain_raw_mlr,train,forwardklim80,6,9.203490011,0.713826685,0.694958115,0.23537506,0.306452547,1.276730817,-3.33E-15,SECstPlain
Ecoregion_SECstPlain_raw_mlr,valin,forwardklim80,6,16.98595964,0.581479362,0.553884594,0.354746231,0.416324535,1.276177814,19.43962011,SECstPlain
Ecoregion_SECstPlain_raw_mlr,valnit,forwardklim80,6,9.174374543,0.13793159,-0.02892036,0.335930138,0.491356194,1.463097512,-3.038544631,SECstPlain
Ecoregion_SECstPlain_strd_lasso,train,alpha0.01,32,4.972779592,0.845376393,0.769254002,0.164721929,0.22526129,40.69604838,2.28E-14,SECstPlain
Ecoregion_SECstPlain_strd_lasso,valin,alpha0.01,32,15.05736005,0.628998533,0.446351657,0.333476603,0.391977718,37.26154624,19.62756057,SECstPlain
Ecoregion_SECstPlain_strd_lasso,valnit,alpha0.01,32,5.06413709,0.524149294,-2.521295227,0.280775912,0.365057209,,-5.811264732,SECstPlain
