feature,VIF
DRAIN_SQKM,3.279924464623407
PPTAVG_BASIN,3.9495321440587046
T_MAX_BASIN,64.85566108499295
RH_BASIN,5.139903027787687
FST32F_BASIN,23.82407668466652
LST32F_BASIN,55.30763593861168
WD_BASIN,11.363877151538755
PET,75.77408477636207
SNOW_PCT_PRECIP,50.009702739339474
NDAMS_2009,4.690470817131149
DDENS_2009,1.6973505149724553
STOR_NID_2009,2.2065956734556162
MINING92_PCT,1.5276047581363283
POWER_SUM_MW,2.683203325519224
FRAGUN_BASIN,48.67073148856255
HGB,27.87540459677614
HGC,21.210546879880564
HGD,7.517963104775867
HGBD,3.092092975012113
ROCKDEPAVE,3.935530497873584
CLAYAVE,4.320062614260903
SILTAVE,4.044983914526718
ELEV_MEAN_M_BASIN,15.106509589392351
SLOPE_PCT,7.765007424454321
ASPECT_DEGREES,1.4054604347744915
TS_Housing_HDEN,68.75725676075845
TS_NLCD_11,2.2573917861381543
TS_NLCD_41,16.460652943298964
TS_NLCD_43,4.358589953920901
TS_NLCD_52,2.8135867863232917
TS_NLCD_81,21.74387540148294
TS_NLCD_DEV_SUM,56.60226928237337
TS_NLCD_imperv,67.45398783368088
TS_Population_PDEN,58.782433522440826
TS_WaterUse_wu,1.427407947387227
