feature,VIF
Emb0,2.640016544849286
Emb2,3.0572192394590862
Emb3,3.6007099846792516
Emb4,3.4614287071981535
Emb6,2.670502487550524
Emb7,3.3502175264384224
Emb8,3.1144945409605125
Emb9,2.3785606706694673
Emb10,2.3371022646486397
Emb11,2.749923108181654
Emb16,3.382521040461258
Emb17,2.7909923533928374
Emb18,3.837643058433949
Emb19,2.401689475949265
Emb21,2.7397133855717857
Emb22,3.48755977100623
Emb23,2.822348890583173
Emb24,3.0872906487201206
Emb25,2.37326935820686
Emb26,2.832053005963959
Emb27,2.8366265682658627
Emb28,3.1948003332435535
Emb29,3.916139206151826
Emb31,2.7003746136822433
Emb32,3.7680748714349583
Emb34,3.803519631500211
Emb36,2.046261587216049
Emb37,3.393344505476978
Emb38,2.8043056199414917
Emb40,2.5009134894444065
Emb42,3.6276340739840656
Emb43,4.4659296390873475
Emb45,2.5533783166576565
Emb47,2.159587656445728
Emb48,2.7157771298856024
Emb50,2.1523682192640874
Emb51,2.8397716807177353
Emb52,3.7508491723559403
Emb55,2.3188196309985813
Emb56,4.278476115189949
Emb57,2.8356474253919335
Emb59,3.024493662145116
Emb60,2.8584049865176224
Emb61,2.9546925013890193
Emb62,3.033106971130267
Emb63,3.466714060065443
Emb64,3.33329887229745
Emb65,4.219231309637092
Emb66,2.5423763254763316
Emb67,3.516153118043817
Emb68,2.709882478675929
Emb70,2.7424537668517406
Emb71,3.3589505134580784
Emb77,2.682740942509271
Emb79,3.4449334433746
