feature,VIF
Emb0,1.4742686916597085
Emb2,1.739184403784141
Emb3,1.7489475819853448
Emb7,2.0314564308226495
Emb9,1.5260520281456864
Emb11,1.3728112252581046
Emb13,1.4946855494216829
Emb15,1.464993094422425
Emb16,2.3208584638356515
Emb17,1.7691362171344382
Emb19,1.9695193466645313
Emb23,1.832699758671211
Emb24,1.7787334737340657
Emb26,1.8369806887439466
Emb27,2.206103490387386
Emb29,1.9055771683475928
Emb31,1.4968763501911213
Emb32,1.8422116028042987
Emb33,2.1045200800497184
Emb34,1.5899050204135794
Emb35,1.9039315604928635
Emb36,1.4379293587150634
Emb37,2.148914873847332
Emb38,1.9896053647279992
Emb45,1.4611574138265968
Emb48,1.8081896839018043
Emb54,1.7734083640701601
Emb56,1.599719662899589
Emb59,1.8553975176659674
Emb67,1.5191922540845806
Emb71,1.9423941975729262
Emb72,1.4917189196980216
