feature,VIF
PPTAVG_BASIN,3.8683562857153326
WD_BASIN,4.4924049300510935
SNOW_PCT_PRECIP,6.231010359138233
PRECIP_SEAS_IND,1.4058136596489788
TOPWET,2.287128829844685
FRAGUN_BASIN,5.366271475497205
HIRES_LENTIC_DENS,1.8342729442719061
HGA,2.50283694605307
HGAD,1.5925036478962002
HGBC,1.119930418020832
PERMAVE,3.936942668700161
CLAYAVE,3.2455220828173417
ELEV_MEAN_M_BASIN,4.1758093401916225
RRMEDIAN,1.5272685502708028
SLOPE_PCT,5.220728258630213
TS_NLCD_11,1.2771001957913974
TS_NLCD_22,2.2228041616207705
TS_NLCD_31,1.163780166281535
TS_NLCD_43,2.354853179220156
TS_NLCD_52,2.368367555128044
TS_NLCD_71,2.3438288285065947
