feature,VIF
PPTAVG_BASIN,3.745989170794517
T_MAX_BASIN,47.68388992867899
WD_BASIN,4.240537629855827
SNOW_PCT_PRECIP,33.75034100575266
PRECIP_SEAS_IND,1.4943395695724726
STREAMS_KM_SQ_KM,1.6823692277570323
TOPWET,1.7353008596323491
NDAMS_2009,1.5692170564778556
MINING92_PCT,1.1086946739560342
HIRES_LENTIC_DENS,2.300775188300571
HGA,2.3207631094272796
HGAD,2.805926307880023
HGBC,1.1275032708075392
PERMAVE,3.231292408056793
WTDEPAVE,1.7690242757031123
ROCKDEPAVE,1.610065677488188
RRMEDIAN,1.6344581278465642
TS_NLCD_11,1.3550102377067943
TS_NLCD_23,10.542300530438924
TS_NLCD_24,6.287750529872557
TS_NLCD_31,1.1881159252963742
TS_NLCD_42,3.849959538602186
TS_NLCD_43,2.064998824459485
TS_NLCD_52,3.3225071067259693
TS_NLCD_DEV_SUM,8.59777207639945
TS_ag_irrig,2.675567706284054
