feature,VIF
DRAIN_SQKM,2.658563880495292
PPTAVG_BASIN,7.066564004258603
RH_BASIN,9.894949080473362
FST32F_BASIN,31.902709880613894
LST32F_BASIN,27.129594146828207
WD_BASIN,7.389246181991243
PET,17.047333547804154
SNOW_PCT_PRECIP,6.878834657536376
NDAMS_2009,2.8192625260601805
STOR_NID_2009,1.3256421848120004
CANALS_PCT,1.2006405515483494
POWER_SUM_MW,1.3113329033241614
FRAGUN_BASIN,5.0556668934477464
HGA,2.0020235106485633
HGB,2.8611057002367075
HGC,3.109047206701948
CLAYAVE,3.4076530226870605
SILTAVE,2.5042057302378526
ELEV_MEAN_M_BASIN,22.619278366494736
SLOPE_PCT,2.251666890600936
ASPECT_DEGREES,1.339354901539478
TS_Housing_HDEN,75.46860103398454
TS_NLCD_11,1.799918542401452
TS_NLCD_31,2.5157969239160356
TS_NLCD_42,8.254563808671657
TS_NLCD_43,2.2288447581397186
TS_NLCD_52,5.707711965761763
TS_NLCD_71,2.8222293613978655
TS_Population_PDEN,75.3434909298672
