feature,VIF
DRAIN_SQKM,1.896527438930492
PPTAVG_BASIN,4.557064893521336
T_MIN_BASIN,13.595156455060112
FST32F_BASIN,9.270297619549934
WD_BASIN,5.133123082267035
GEOL_REEDBUSH_DOM_granitic,1.1793612290806599
STREAMS_KM_SQ_KM,1.2142709644128176
NDAMS_2009,1.8255683181690503
HGA,1.8332142029504113
HGB,1.692355973701044
HGCD,1.4166194584152878
BDAVE,2.012695550205379
WTDEPAVE,2.5765682320253522
SILTAVE,2.425314806744433
ELEV_MEAN_M_BASIN,5.517502240393989
TS_NLCD_11,1.2217875681087593
TS_NLCD_24,1.1327969336031383
TS_NLCD_52,2.064807075752347
TS_NLCD_71,1.610865601497631
TS_NLCD_95,1.551103159211894
